Sample,PSNR,SSIM
0,17.0666,0.3101
1,18.4030,0.3225
2,15.9999,0.2808
3,20.5391,0.5963
4,14.7295,0.7629
5,23.1584,0.7328
6,9.0854,0.1668
7,13.2568,0.3112
8,22.4935,0.4851
9,19.5369,0.3901
10,13.4482,0.4047
11,19.5964,0.5226
12,14.9996,0.4455
13,20.3598,0.2553
14,15.2814,0.2280
15,15.4603,0.2527
16,16.7615,0.3307
17,17.6888,0.2937
18,19.8523,0.3750
19,19.4351,0.4145
20,19.4969,0.4604
21,13.6407,0.3734
22,19.5377,0.3175
23,17.4019,0.3335
24,22.2390,0.3384
25,12.8008,0.3150
26,15.0079,0.5052
27,17.1934,0.3173
28,16.9137,0.4925
29,15.1225,0.5463
30,15.2177,0.3495
31,23.8428,0.4783
32,16.4107,0.2909
33,14.1180,0.2674
34,16.0354,0.3587
35,14.6946,0.3004
36,13.8127,0.2382
37,13.6207,0.3561
38,16.9523,0.3420
39,17.2238,0.3484
40,21.7992,0.4631
41,14.4036,0.2346
42,13.4006,0.2061
43,24.8095,0.7097
44,15.9874,0.5043
45,15.9784,0.2555
46,17.9318,0.3055
47,17.2658,0.4607
48,7.4448,0.0835
49,18.1888,0.3136
50,14.0745,0.3157
51,19.6659,0.4408
52,18.4556,0.2099
53,19.6998,0.3342
54,20.6376,0.6687
55,14.3976,0.7528
56,15.7025,0.2969
57,19.3875,0.3039
58,17.3136,0.2648
59,19.2487,0.3368
60,22.7695,0.4390
61,13.4318,0.3209
62,15.3403,0.4202
63,24.9165,0.8143
64,15.9466,0.3028
65,21.5877,0.5777
66,21.4908,0.2281
67,11.6936,0.3807
68,13.6745,0.3508
69,22.7164,0.2672
70,14.5207,0.9032
71,15.4291,0.4551
72,14.6272,0.3412
73,14.3445,0.5962
74,21.2423,0.5289
75,19.3174,0.3533
76,18.6908,0.3366
77,15.5618,0.2611
78,18.1624,0.5341
79,20.7026,0.7180
80,16.5520,0.3668
81,25.5251,0.3461
82,9.5547,0.1224
83,21.4040,0.3571
84,22.8120,0.2684
85,15.5761,0.2546
86,19.6153,0.3275
87,15.0286,0.3523
88,12.3406,0.2753
89,18.9506,0.3477
90,19.2242,0.4164
91,12.7234,0.2292
92,17.8854,0.2786
93,14.3109,0.3657
94,25.1033,0.3407
95,19.2364,0.3963
96,14.3824,0.4003
97,18.2050,0.3183
98,26.1425,0.5804
99,14.7732,0.2607
